id	source	kind	description	expected	acceptance	producer	evidence	status	deviation
DESIGN-001	main:p2-p3:experimental-design	claim	Tested compound design	1085 compounds; eight concentrations from 0.01 to 100 uM; two biological replicates	exact: counts, range, and replicate design agree	1_snakemake/inputs/metadata/metadata.parquet	evidence/experimental-design-and-figure-1.md	reproduced-with-deviation	Published design and 1085-compound library agree; post-QC metadata excludes three microscope plates, leaving Hycanthone at seven concentrations and 941 of 8679 compound-concentration groups with one retained row
DESIGN-002	main:p2-p3:experimental-design	claim	Image representation feature counts	CellProfiler 5640; CP-CNN 672; DINO 4608	exact: representation names and feature counts agree	0_prepare_data; downloaded profile schemas	evidence/experimental-design-and-figure-1.md	reproduced	-
DESIGN-003	main:p2-p3:experimental-design	claim	Assay and exposure design	384-well plates; 44-hour exposure; Cell Painting, LDH, and MT readouts	exact: procedural constants and readout types agree	paper methods; input metadata	evidence/experimental-design-and-figure-1.md	reproduced	-
FIG-1	main:p3:figure-1	figure	Overview of the experimental design	The published workflow connects compound exposures to three measured assays and prediction outcomes	qualitative: same experimental stages, sample scale, assays, and intended outcomes; publisher layout need not match	unknown	evidence/experimental-design-and-figure-1.md	reproduced	-
ACTIVITY-001	main:p3:results-2.1.1	claim	Activity counts in paired cytotoxicity-related assays	MT 430 of 1085; cell count 221; LDH 144; 438 unique active compounds	exact: counts agree on the fixed published substrate	2_downstream_analysis/manuscript_notebooks/1_2_number_active_readouts.ipynb	evidence/activity-and-figure-2a.md	reproduced-with-deviation	CellProfiler Parquets reproduce 430/221/144 and 438 unique; the DINO count notebook yields 431/220/144 and 439, while published Table S2 has 429/220/147 and 437 unique
ACTIVITY-002	main:p3:results-2.1.1	claim	Overall cytotoxic compound count	429 compounds are cytotoxic in at least one assay	exact: count and direction-aware definition agree	2_downstream_analysis/manuscript_notebooks/1_2_number_active_readouts.ipynb	evidence/activity-and-figure-2a.md	reproduced	-
ACTIVITY-003	main:p3:results-2.1.1	claim	Compounds with increased MT readout	Ten compounds increase MT; four have particularly strong responses	close: same small set and same four dominant responses; document borderline call differences	2_downstream_analysis/manuscript_notebooks/1_2_1_cmpds_increase_mt.ipynb	evidence/activity-and-figure-2a.md	reproduced-with-deviation	CellProfiler reproduces ten and the same four dominant compounds; the DINO notebook adds Clodinafop-propargyl after an order-sensitive Exp2-to-Exp3 model change
FIG-2A	main:p4:figure-2a	figure	Strong MT-increasing concentration-response curves	Four dominant MT-increasing compounds with POD markers	qualitative: same compounds, response direction, and approximate curve and POD locations	2_downstream_analysis/manuscript_notebooks/1_2_1_cmpds_increase_mt.ipynb	evidence/activity-and-figure-2a.md	reproduced	-
BIOACTIVITY-001	main:p5:results-2.1.2	claim	Morphological bioactivity frequency	34-59 percent active depending on representation and distance metric; CellProfiler global is the 34 percent outlier	close: same range, ordering, and outlier; small POD pass-call drift is acceptable	2_downstream_analysis/manuscript_notebooks/4_1_results_tables_SI.ipynb	evidence/bioactivity-and-figure-2b-d.md	reproduced-with-deviation	Current notebook-read data preserve 34-59 percent and ordering; published Table S3 has 169 CellProfiler-global calls (15.6 percent) versus the panel's 372 (34.3 percent) because of model/pass-call drift.
FIG-2B	main:p4:figure-2b	figure	Active-compound counts and morphology POD distributions	Representation and distance choices produce the published activity-count ordering and POD distributions	qualitative: same ordering, approximate proportions, and distribution shapes	2_downstream_analysis/manuscript_notebooks/1_3_compare_pods.ipynb	evidence/bioactivity-and-figure-2b-d.md	reproduced-with-deviation	Current counts differ by at most six and medians by 0.6 uM; published Table S3 loses 203 CellProfiler-global calls and shifts its median from 25.0 to 52.8 uM.
BIOACTIVITY-002	main:p5:results-2.1.2	claim	Relative morphology POD sensitivity by representation	CP-CNN PODs are about 2.0-fold higher than CellProfiler and 1.5-fold higher than DINO; CellProfiler and DINO are not significantly different	close: ratios remain near published magnitude and statistical conclusion is unchanged	2_downstream_analysis/manuscript_notebooks/1_3_compare_pods.ipynb	evidence/bioactivity-and-figure-2b-d.md	blocked	Ratios remain near 2.0 and 1.5, but CellProfiler-DINO is p=0.261 in published SI, p=0.034 on the current notebook path, and p=0.0545 with the filtered config; the absent historical extended matrix is excluded.
FIG-2C	main:p4:figure-2c	figure	POD comparison across representations	Published paired comparison for 342 compounds with PODs in all representations	qualitative: same paired universe at useful resolution, same ordering, and similar spread; document row drift	2_downstream_analysis/manuscript_notebooks/1_3_compare_pods.ipynb	evidence/bioactivity-and-figure-2b-d.md	reproduced-with-deviation	Five-series complete counts are 342 camera-ready, 156 published SI, 341 current notebook-read, 330 current filtered, and 408 stored; current notebook-read distributions and ordering agree closely.
